Version,Date,Description of Change,_page,Caution: ALWAYS CONNECT JETSON ORIN NANO and ALL EXTERNAL PERIPHERAL,Note: The developer kit carrier board has been modified to only support 5V to the module.,Pin #,Connector Pin,Associated Module Pin,Module,Module Pin Name,Type/Dir,Module Pin Name (see Note 1 and 2),Usage/Description,Module Pin #,N > >,otes:,Module Pin,Module Pin.1,Module.1,Notes:,Type/Dir.1,Header Pin #,SoC Pin Name,Pin Drive,Pin,Type/Dir Default,Associated Module Pin Name,Power Rails,Usage,(V),Power Supply or Gate,Source,Enable,Max Current (A),Connector
,,,13,,,,,,,,,9,USBSS0_TX_P,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,Pin #,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,USB 3.0 Type A (1),,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,Notes:,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,1. USB 3.2 module pin names are using the Orin NX and Orin Nano function names.,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,2. The module pin names not directly connected to the USB connector pins but are routed to the input of the,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,USB hub.,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,"3. In the Type/Dir column, Output is to USB connectors. Input is from USB connectors. Bidir is for",,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,bidirectional signals.,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,1 G,,,,PE_MDI0_P,Bidir,,Gigabit Ethernet MDI 0+,186,,,,,,,,,,,,,,,,,,,,,
,,,14,,,2 G,,,,PE_MDI0_N,Bidir,,Gigabit Ethernet MDI 0–,184,,,,,,,,,,,,,,,,,,,,,
,,,14,,,3 G,,,,PE_MDI1_P,Bidir,,Gigabit Ethernet MDI 1+,192,,,,,,,,,,,,,,,,,,,,,
,,,14,,,4 –,,,,,–,,MCT,–,,,,,,,,,,,,,,,,,,,,,
,,,14,,,5 –,,,,,–,,MCT,–,,,,,,,,,,,,,,,,,,,,,
,,,14,,,6 G,,,,PE_MDI1_N,Bidir,,Gigabit Ethernet MDI 1–,190,,,,,,,,,,,,,,,,,,,,,
,,,14,,,7 G,,,,PE_MDI2_P,Bidir,,Gigabit Ethernet MDI 2+,198,,,,,,,,,,,,,,,,,,,,,
,,,14,,,8 G,,,,PE_MDI2_N,Bidir,,Gigabit Ethernet MDI 2–,196,,,,,,,,,,,,,,,,,,,,,
,,,14,,,9 G,,,,PE_MDI3_P,Bidir,,Gigabit Ethernet MDI 3+,204,,,,,,,,,,,,,,,,,,,,,
,,,15,,,10,,,,GPE_MDI3_N,Bidir,,Gigabit Ethernet MDI 3–,202,,,,,,,,,,,,,,,,,,,,,
,,,15,,,11 12 – 13 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,,,,,,Power,,Power-Over-Ethernet,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,15 –,,,,,Input,,Green LED Anode,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,16,,,,GBE_LED_LINK,Output,,"Green LED Cathode. On for 1,000 Mbps link. Off for 10/100Mbps.",188,,,,,,,,,,,,,,,,,,,,,
,,,15,,,17 –,,,,,Input,,Yellow LED Anode,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,18,,,,GBE_LED_ACT,Output,,Yellow LED Cathode. On indicates activity.,194,,,,,,,,,,,,,,,,,,,,,
,,,15,,,19 – 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,,,,,,Ground,,Shield Ground,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,"Note: In the Type/Dir column, Output is to RJ45 connector. Input is from RJ45 connector. Bidir is for bidirectional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,signals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,1,,,,DP0_TXD0_P,Output,,DP Lane 0+,41,,,,,,,,,,,,,,,,,,,,,
,,,15,,,2,,,,–,Ground,,Ground,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,3,,,,DP0_TXD0_N,Output,,DP Lane 0–,39,,,,,,,,,,,,,,,,,,,,,
,,,15,,,4,,,,DP0_TXD1_P,Output,,DP Lane 1+,47,,,,,,,,,,,,,,,,,,,,,
,,,15,,,5,,,,–,Ground,,Ground,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,6,,,,DP0_TXD1_N,Output,,DP Lane 1–,45,,,,,,,,,,,,,,,,,,,,,
,,,15,,,7,,,,DP0_TXD2_P,Output,,DP Lane 2+,53,,,,,,,,,,,,,,,,,,,,,
,,,15,,,8,,,,–,Ground,,Ground,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,9,,,,DP0_TXD2_N,Output,,DP Lane 2–,51,,,,,,,,,,,,,,,,,,,,,
,,,15,,,10,,,,DP0_TXD3_P,Output,,DP Lane 3+,59,,,,,,,,,,,,,,,,,,,,,
,,,15,,,11,,,,–,Ground,,Ground,–,,,,,,,,,,,,,,,,,,,,,
,,,15,,,12,,,,DP0_TXD3_N,Output,,DP Lane 3–,57,,,,,,,,,,,,,,,,,,,,,
,,,16,,,13,,,,–,Input,,MODE to support Dual-role mode. Connects from DP connector to PI3AUX221ZTAEX device to select between DP or HDMI mode.,–,,,,,,,,,,,,,,,,,,,,,
,,,16,,,14,,,,–,Unused,,CEC_DP: Not used – pulled to GND through 1,–,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,Mohm resistor,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,15,,,,DP0_AUX_N,Bidir,,DisplayPort Auxiliary Channel 0-,90,,,,,,,,,,,,,,,,,,,,,
,,,16,,,16,,,,–,Ground,,Ground,–,,,,,,,,,,,,,,,,,,,,,
,,,16,,,17,,,,DP0_AUX_P,Bidir,,DisplayPort Auxiliary Channel 0+,92,,,,,,,,,,,,,,,,,,,,,
,,,16,,,18,,,,DP0_HPD,Input,,HDMI™ Hot Plug Detect,88,,,,,,,,,,,,,,,,,,,,,
,,,16,,,19,,,,–,Ground,,Power Return (Ground),–,,,,,,,,,,,,,,,,,,,,,
,,,16,,,20,,,,–,Power,,+3.3 V,–,,,,,,,,,,,,,,,,,,,,,
,,,16,,,"Note: In the Type/Dir column, Output is to DP connector. Input is from DP connector. Bidir is for bidirectional signals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,Name,,,,,,,,Pin #,Pin #,Usage/Description,,,,,,,,,,,,,,,,
,,,16,,,,,,–,,,,,,,,1,,Ground,,,,,,,,,,,,,,,,
,,,16,,,,,,USB2_D_P,,,,,,,,3,123,USB 2.0 Data,,,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,,USB2_D_N,,,,,,,,5,121,,,,,,,,,,,,,,,,,
,,,16,,,,,,–,,,,,,,,7,,Ground,,,,,,,,,,,,,,,,
,,,16,,,,,,–,,,,,,,,9,–,Unused,,,,,,,,,,,,,,,,
,,,17,,,,,,Name,,,,,,,,Pin #,Pin #,Usage/Description,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
